"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH","Tipo de UH"," Programa"," Logradouro"," Número de Logradouro"," Complemento"," Bairro","CEP","Município","Código do Município","Região","Número de Operação"," Data Contrato","00","id"
"25","Funciona","POINT (-46.9683330005371 -22.4675000005771)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL FLORESTA                                        "," ASSINADO"," 352"," "," FAR"," "," "," RUA BELMIRO FINAZA, ACESSO EST. MUN. MARTIN FRANCISCO       "," "," "," MOJI-MIRIM"," 3530805"," ESP"," 30082841"," 15/10/2010 00","00",25
"26","Funciona","POINT (-48.3175000005511 -21.2725000005718)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL AROEIRA                              "," ASSINADO"," 80"," "," FAR"," "," "," RUA DJALMA ALEIXO DE SOUZA 296                              "," "," "," JABOTICABAL"," 3524303"," ESP"," 29685708"," 11/05/2010 00","00",26
"27","Funciona","POINT (-47.4122220005233 -22.3752780005562)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL DOS BIRIS                            "," ASSINADO"," 216"," "," FAR"," "," "," RUA JOAO BRIZO                                              "," "," "," ARARAS"," 3503307"," ESP"," 30062605"," 26/02/2010 00","00",27
"28","Funciona","POINT (-48.3177780005511 -21.2719440005718)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL DAS PAINEIRAS                        "," ASSINADO"," 80"," "," FAR"," "," "," RUA DJALMA ALEIXO DE SOUZA 336                              "," "," "," JABOTICABAL"," 3524303"," ESP"," 29686055"," 11/05/2010 00","00",28
"29","Funciona","POINT (-48.3177780005512 -21.2713890005718)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL JEQUITIBA                            "," ASSINADO"," 80"," "," FAR"," "," "," RUA DJALMA ALEIXO DE SOUZA 276                              "," "," "," JABOTICABAL"," 3524303"," ESP"," 29685812"," 11/05/2010 00","00",29
"30","Funciona","POINT (-48.3175000005514 -21.2675000005721)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," PORTAL DA ESPERANCA I                                       "," ASSINADO"," 148"," "," FAR"," "," "," RUA AGATA                                                   "," "," "," JABOTICABAL"," 3524303"," ESP"," 29574292"," 30/12/2010 00","00",30
"31","Funciona","POINT (-48.3177777783292 -21.2677777783498)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," PORTAL DA ESPERANCA II                                      "," ASSINADO"," 116"," "," FAR"," "," "," RUA AGATA                                                   "," "," "," JABOTICABAL"," 3524303"," ESP"," 29574305"," 30/12/2010 00","00",31
"32","Funciona","POINT (-47.822778000582 -21.1377780006105)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO ITAJUBA                                          "," ASSINADO"," 224"," "," FAR"," "," "," RUA ITAJUBA 1865                                            "," "," "," RIBEIRÃO PRETO"," 3543402"," ESP"," 29510142"," 29/01/2010 00","00",32
"33","Funciona","POINT (-48.4472220004395 -22.9325000004563)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," PARQUE RESIDENCIAL SANTA MARIA                              "," ASSINADO"," 407"," "," FAR"," "," "," ROD GASTAO DAL FARRA, AO LADO JD STA MONICA, BOTUCATU/SP    "," "," "," BOTUCATU"," 3507506"," ESP"," 29406133"," 05/11/2009 00","00",33
"34","Funciona","POINT (-46.5002780004861 -23.6002780005294)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," TEOTONIO VILELA II - PIRACICABA, CONJUNTO HABITACIONAL      "," ASSINADO"," 180"," "," FAR"," "," "," RUA FLOR DA MADRUGADA, S/N LOTE 02 QUADRA 39                "," "," "," SÃO PAULO"," 3550308"," RMSP"," 29344768"," 11/12/2009 00","00",34
"35","Funciona","POINT (-46.1938890005021 -23.5552780005509)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," ORQUIDEA, RESIDENCIAL                                       "," ASSINADO"," 140"," "," FAR"," "," "," RUA PROFETA JONAS 235                                       "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 28978478"," 30/09/2009 00","00",35
"36","Funciona","POINT (-46.1952780005021 -23.5538890005509)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," AZALEIA, RESIDENCIAL                                        "," ASSINADO"," 140"," "," FAR"," "," "," RUA PROFETA JONAS 225                                       "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 28978583"," 30/09/2009 00","00",36
"37","Funciona","POINT (-46.2633330004994 -23.550278000547)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMÍNIO RESIDENCIAL JUNDIAPEBA I                         "," ASSINADO"," 280"," "," FAR"," "," "," RUA DR. FRANCISCO SOARES MARIALVA, QD 109                   "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29215852"," 10/12/2009 00","00",37
"38","Funciona","POINT (-46.2622220004993 -23.5527780005469)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JUNDIAPEBA II, COND. RES.                                   "," ASSINADO"," 280"," "," FAR"," "," "," RUA DR. FRANCISCO SOARES MARIALVA, QD 108                   "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29215966"," 10/12/2009 00","00",38
"39","Funciona","POINT (-46.2611110004994 -23.553056000547)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JUNDIAPEBA III, COND. RES.                                  "," ASSINADO"," 280"," "," FAR"," "," "," RUA DR. FRANCISCO SOARES MARIALVA, 2261                     "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29216094"," 10/12/2009 00","00",39
"40","Funciona","POINT (-46.2586110004996 -23.5511110005473)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JUNDIAPEBA VIII, COND. RES.                                 "," ASSINADO"," 140"," "," FAR"," "," "," RUA JOSE PEREIRA, 1750                                      "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29216659"," 10/12/2009 00","00",40
"41","Funciona","POINT (-46.2522220004998 -23.5516670005476)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JUNDIAPEBA V, COND. RES.                                    "," ASSINADO"," 280"," "," FAR"," "," "," RUA AUGUSTO REGUEIRO, 1561                                  "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29216325"," 10/12/2009 00","00",41
"42","Funciona","POINT (-50.2797 -21.0911)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL ATLANTICO - 2A ETAPA"," "," 479"," CASA/LOTEAMENTO"," FAR"," RUA AGENOR ZANONI"," "," "," JARDIM ATLANTICO"," "," BIRIGUI"," 3506508"," ESP"," 0322800-87"," 30/04/2010 00","00",42
"43","Funciona","POINT (-46.2519440004998 -23.5519440005476)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JUNDIAPEBA VI, COND. RES.                                   "," ASSINADO"," 280"," "," FAR"," "," "," RUA MANOEL FERNANDES, 1461                                  "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29216439"," 10/12/2009 00","00",43
"44","Funciona","POINT (-46.2508330004999 -23.5508330005477)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JUNDIAPEBA IV, COND RES                                     "," ASSINADO"," 380"," "," FAR"," "," "," RUA DR. FRANCISCO SOARES MARIALVA, 2171                     "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29216211"," 10/12/2009 00","00",44
"45","Funciona","POINT (-46.2450000005001 -23.552500000548)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JUNDIAPEBA VII, COND. RES                                   "," ASSINADO"," 140"," "," FAR"," "," "," RUA JOSE PEREIRA, 1390                                      "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29216544"," 10/12/2009 00","00",45
"46","Funciona","POINT (-46.3988888893889 -23.4488888894347)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL GRAMADO I                                       "," ASSINADO"," 359"," "," FAR"," "," "," RUA JOSE FERREIRA MENCK - BAIRRO TABOAO                     "," "," "," GUARULHOS"," 3518800"," RMSP"," 29300291"," 21/12/2009 00","00",46
"47","Funciona","POINT (-48.5638890005819 -20.592500000599)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL ASTURIAS QUADRA A                    "," ASSINADO"," 140"," "," FAR"," "," "," R ANTONIO GIRARDI - LOT RESIDENCIAL JD DR LUIS SPINA        "," "," "," BARRETOS"," 3505500"," ESP"," 28554374"," 25/09/2009 00","00",47
"48","Funciona","POINT (-47.9805560005766 -21.1100000006026)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL DAS ACACIAS                          "," ASSINADO"," 120"," "," FAR"," "," "," PROLONGAMENTO DA AV. ALESSIO MAZER - RUA 2                  "," "," "," SERTÃOZINHO"," 3551702"," ESP"," 29083506"," 07/10/2009 00","00",48
"49","Funciona","POINT (-50.2959 -21.5477)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL NOVA TUPA"," "," 294"," CASA/LOTEAMENTO"," FAR"," RUA VIRGINIA ZONER NAVE"," "," "," LOTEAMENTO NOVA TUPA"," "," BRAÚNA"," 3507704"," ESP"," 0310751-49"," 23/03/2010 00","00",49
"50","Funciona","POINT (-47.9805560005766 -21.1100000006026)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL ELDORADO DE SERTAOZINHO              "," ASSINADO"," 160"," "," FAR"," "," "," RUA 05, QUADRA I                                            "," "," "," SERTÃOZINHO"," 3551702"," ESP"," 29366957"," 07/10/2009 00","00",50
"51","Funciona","POINT (-47.8141670003658 -24.5236110003862)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JARDIM VIRGÍNIA"," ASSINADO"," 214"," "," FAR"," "," "," ANTIGA COLONIA DE REGISTRO GLEBA C - COLONIA DE REGISTRO"," "," "," REGISTRO"," 3542602"," ESP"," 600182"," 31/07/2013 00","00",51
"52","Funciona","POINT (-47.8797220003622 -24.5300000003818)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL JARDIM AGROCHA III                              "," ASSINADO"," 400"," "," FAR"," "," "," "," "," "," REGISTRO"," 3542602"," ESP"," 39109827"," 27/05/2014 00","00",52
"53","Funciona","POINT (-47.1723772479099 -22.8745241442472)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL EUROPA II                                       "," "," 440"," "," FAR"," "," "," "," "," "," Hortolândia "," 3519071"," RMC"," 40514844"," 27/12/2013 00","00",53
"54","Funciona","POINT (-50.4783333333333 -21.1888888888889)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL PORTO REAL I - 1A ETAPA"," "," 481"," CASA/LOTEAMENTO"," FAR"," ANEXO A CHACARAS MOEMA"," "," "," LOTEAMENTO PORTO REAL I"," "," ARAÇATUBA"," 3502804"," ESP"," 0302455-80"," 01/12/2009 00","00",54
"55","Funciona","POINT (-50.4847222222222 -21.1861111111111)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL PORTO REAL I - 2A ETAPA"," "," 143"," CASA/LOTEAMENTO"," FAR"," ANEXO A CHACARAS MOEMA"," "," "," LOTEAMENTO PORTO REAL I"," "," ARAÇATUBA"," 3502804"," ESP"," 0322305-87"," 30/04/2010 00","00",55
"56","Funciona","POINT (-48.893928251646 -23.9980117066056)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," MORADA DO BOSQUE - FAR                                      "," ASSINADO"," 1043"," "," FAR"," RUA SALVADOR DOMINGUES OLIVEIRA 1"," "," RUA SALVADOR DOMINGUES OLIVEIRA - BAIRRO DE CIMA            "," "," "," ITAPEVA"," 3522406"," ESP"," 40863835"," 31/01/2013 00","00",56
"57","Funciona","POINT (-48.9050715911241 -23.9666095652305)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," DAS ROSAS - FAR                                             "," ASSINADO"," 416"," "," FAR"," RUA BALBINO ROSA DE MELO 1"," "," RUA BALBINO ROSA DE MELO                                    "," "," "," ITAPEVA"," 3522406"," ESP"," 31408333"," 29/05/2013 00","00",57
"58","Funciona","POINT (-46.7866670004378 -24.1561110004738)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RES DAS ARVORES - COND. DAS SIBIPIRUNAS                     "," ASSINADO"," 64"," "," FAR"," "," "," RUA 38 X RUA S, S/N - Q11 - LOT GUARPURA - ITANHAEM/SP      "," "," "," ITANHAÉM"," 3522109"," RMBS"," 29407159"," 04/11/2009 00","00",58
"59","Funciona","POINT (-46.7866670004378 -24.1566670004738)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RES.DAS ARVORES - COND.DOS JATOBAS                          "," ASSINADO"," 64"," "," FAR"," "," "," RUA 39 X RUA R, S/N - Q09 - LOT GUAPURA - ITANHAEM/SP       "," "," "," ITANHAÉM"," 3522109"," RMBS"," 29407044"," 04/11/2009 00","00",59
"60","Funciona","POINT (-46.7303462647856 -24.1466784301177)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO DOS SABIAS                                       "," ASSINADO"," 36"," "," FAR"," RUA J 1"," "," RUA J 17 E 19 - QUADRA 46                                   "," "," "," ITANHAÉM"," 3522109"," RMBS"," 39106759"," 31/10/2012 00","00",60
"61","Funciona","POINT (-46.8770507387013 -24.2338833232955)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL DOS PASSAROS - CONDOMINIO DAS GRALHAS           "," ASSINADO"," 72"," "," FAR"," RUA SETE 1"," "," RUA 7, RUA 8, RUA C E RUA D - QUADRA 67                     "," "," "," ITANHAÉM"," 3522109"," RMBS"," 40861896"," 06/09/2013 00","00",61
"62","Funciona","POINT (-47.1723772479099 -22.8745241442472)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL EUROPA                                          "," "," 740"," "," FAR"," RUA YTAMARAKá, S/N - LOTES 01B, 01C E 01D                   "," "," "," "," "," Hortolândia "," 3519071"," RMC"," 35887986"," 27/12/2012 00","00",62
"63","Funciona","POINT (-47.0968214944911 -22.9634126844988)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL VILAS DO TAUBATE                                "," "," 660"," "," FAR - Urbanização"," PARQUE LINEAR VILAS DO TAUBATE                              "," "," "," "," "," Campinas "," 3509502"," RMC"," 36100462"," 31/05/2013 00","00",63
"64","Funciona","POINT (-46.7934922391006 -22.3742467466519)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL JOSE TONOLI II                                  "," "," 305"," "," FAR"," LOTES DO LOTEAMENTO JOSE TONOLI - BAIRRO ESTOR LUPI         "," "," "," "," "," Itapira "," 3522604"," ESP"," 41134115"," 29/08/2013 00","00",64
"65","Funciona","POINT (-47.1465443115263 -22.5684140144838)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," COND RES SAO JOAO DOS PINHEIROS                             "," "," 640"," "," FAR"," SAO ANTONIO SAI - SITIO SAO JOAO                            "," "," "," "," "," Artur Nogueira "," 350380"," RMC"," 41641736"," 30/09/2013 00","00",65
"66","Funciona","POINT (-44.9885040237782 -22.5806307068398)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL ECO VALE                             "," "," 200"," "," FAR"," CRUZEIRO                                                    "," "," "," "," "," Cruzeiro "," 3513405"," RMVPLN"," 36147340"," 27/08/2012 00","00",66
"67","Funciona","POINT (-51.1637426591799 -22.1489804529642)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," PMCMV - PAC2 - MARTINOPOLIS                                 "," "," 27"," "," FAR - Urbanização"," MARTINOPOLIS                                                "," "," "," "," "," Martinópolis "," 3529203"," ESP"," 35703882"," 05/07/2013 00","00",67
"68","Funciona","POINT (-46.524323403278 -23.6242422388735)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONJUNTO ALEMANHA II                                        "," "," 132"," "," FAR - Urbanização"," RUA ALEMANHA S/N                                            "," "," "," "," "," Santo André "," 3547809"," RMSP"," 31573091"," 30/03/2012 00","00",68
"69","Funciona","POINT (-46.7869440004379 -24.1555560004738)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RES.DAS ARVORES - COND. DOS IPES                            "," ASSINADO"," 112"," "," FAR"," "," "," RUA 35 X RUA R, S/N - Q14 - LOT GUAPURA - ITANHAEM/SP       "," "," "," ITANHAÉM"," 3522109"," RMBS"," 29407481"," 04/11/2009 00","00",69
"70","Funciona","POINT (-46.5240454068566 -23.6236872398183)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONJUNTO ALEMANHA I                                         "," "," 44"," "," FAR - Urbanização"," RUA ALEMANHA S/N                                            "," "," "," "," "," Santo André "," 3547809"," RMSP"," 31573104"," 30/03/2012 00","00",70
"71","Funciona","POINT (-47.0248738465901 -24.3161865322205)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO DOS JACARANDAS (SERRA DO MAR)                    "," "," 88"," "," FAR"," RUA 8 ESQ RUA 36 - QD 14 - LOT STA IZABEL - PERUIBE/SP      "," "," "," "," "," Peruíbe "," 3537602"," RMBS"," 29406685"," 09/04/2010 00","00",71
"72","Funciona","POINT (-48.4843180927866 -20.9184224173468)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL BEBEDOURO"," "," 536"," "," FAR"," QUADRAS 03 A 06, 08, 14 A 17, 21 E 22 - LOTEAMENTO DR. PEDRO PASCHOAL"," "," "," "," "," Bebedouro "," 3506102"," ESP"," 465370"," 28/12/2012 00","00",72
"73","Funciona","POINT (-46.7866670004379 -24.1558330004738)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RES. DAS ARVORES - COND. DAS PALMEIRAS                      "," ASSINADO"," 64"," "," FAR"," "," "," RUA 38 X RUA S, S/N - Q12 - LOT GUAPURA - ITANHAEM/SP       "," "," "," ITANHAÉM"," 3522109"," RMBS"," 29407263"," 04/11/2009 00","00",73
