"","status","geometry","type","source","sYear","Financiado","Fase","Quantidade de UH","Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região"," Longitude","Latitude","id"
"11","Funciona","POINT (-47.367748 -20.567979)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 20847,90"," 145000"," R NATIVO BORGES DA SILVA,CS"," 6106"," VILLA REAL"," 14403864"," FRANCA"," 3516200"," ESP"," -47.367748"," -20.567979",11
"12","Funciona","POINT (-46.672589 -24.116318)","Atendimento Individual","Casa Paulista","2014"," CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS"," Entregue"," 1"," "," SPE"," 34500"," 115000"," SANTA TEREZA"," 1674"," JD LEONOR"," 11730000"," MONGAGUÁ"," 3531100"," RMBS"," -46.672589"," -24.116318",12
"13","Funciona","POINT (-46.325945 -23.552564)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 136596,20"," ESTRADA DOS FERNANDES S/N, BL"," 15"," GUAIO"," 08664005"," SUZANO"," 3552502"," RMSP"," -46.325945"," -23.552564",13
"14","Funciona","POINT (-51.410713 -22.107929)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 23275,96"," 115000"," AV.PAULO MARCONDES,"," 190"," D. BELO HORIZONTE                                P"," 19025000"," PRESIDENTE PRUDENTE"," 3541406"," ESP"," -51.410713"," -22.107929",14
"15","Funciona","POINT (-51.026309 -21.715732)","Atendimento Individual","Casa Paulista","2014"," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 3100"," 80000"," Rua RUA PADRE JOSE DE ANCHIETA"," 642"," CHACARAS CAYRES "," 17780000"," LUCÉLIA"," 3527405"," ESP"," -51.026309"," -21.715732",15
"16","Funciona","POINT (-49.370184 -23.212187)","Atendimento Individual","Casa Paulista","2014"," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 17487,47"," 90000"," OLYMPIO VAZ PEREIRA"," 0"," MARIA G. MOTTA"," 18800000"," PIRAJU"," 3538808"," ESP"," -49.370184"," -23.212187",16
"17","Funciona","POINT (-46.71201 -24.13769)","Atendimento Individual","Casa Paulista","2014"," SEGURANCA PUBLICA"," Entregue"," 1"," "," SPE"," 32937,74"," 147900"," RUA ESTER COSTA DOURADO"," 560"," FLORIDA MIRIM - PQ VERDE MAR"," 11730000"," MONGAGUÁ"," 3531100"," RMBS"," -46.71201"," -24.13769",17
"18","Funciona","POINT (-47.306694 -23.283292)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 23468,96"," 129895,15"," CAETANO RUGGIERI"," 0"," CRUZ DAS ALMAS"," 13312050"," ITU"," 3523909"," RMS"," -47.306694"," -23.283292",18
"19","Funciona","POINT (-51.427746 -21.509047)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 89500"," R 1"," 0"," RESIDENCIAL CA"," 17890000"," JUNQUEIRÓPOLIS"," 3526001"," ESP"," -51.427746"," -21.509047",19
"20","Funciona","POINT (-46.934102 -23.439184)","Atendimento Individual","Casa Paulista","2014"," DEFENSORIA PUBLICA DO ESTADO"," Entregue"," 1"," "," SPE"," 19846,66"," 169000"," AVENIDA BULGARIA,"," 519"," CHACARA SAO LUIZ"," 06504068"," SANTANA DE PARNAÍBA"," 3547304"," RMSP"," -46.934102"," -23.439184",20
"21","Funciona","POINT (-45.982552 -23.311835)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 29702,49"," 130000"," SANTA HELENA"," 693"," SAO JOAO"," 12300000"," JACAREÍ"," 3524402"," RMVPLN"," -45.982552"," -23.311835",21
"22","Funciona","POINT (-50.354321 -21.305403)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 27109,88"," 105000"," SANTO MAMPRIM"," 600"," RES MANUELA"," 16204139"," BIRIGUI"," 3506508"," ESP"," -50.354321"," -21.305403",22
"23","Funciona","POINT (-48.43023 -22.919006)","Atendimento Individual","Casa Paulista","2014"," HOSPITAL CLINICAS FAC.MED.BOTUCATU-HCFMB"," Entregue"," 1"," "," SPE"," 34500"," 94900"," DAS HORTENCIAS"," 0"," RES. CONVIVIO"," 18605258"," BOTUCATU"," 3507506"," ESP"," -48.43023"," -22.919006",23
"24","Funciona","POINT (-45.527236 -23.006116)","Atendimento Individual","Casa Paulista","2014"," FAZENDA"," Entregue"," 1"," "," SPE"," 12374,30"," 135800"," CINDERELA"," 2259"," CAVARUCANGUERA"," 12071500"," TAUBATÉ"," 3554102"," RMVPLN"," -45.527236"," -23.006116",24
"25","Funciona","POINT (-46.523759 -24.025854)","Atendimento Individual","Casa Paulista","2014"," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 17336,12"," 162000"," ANA PEREIRA DE FRANCA"," 439"," BALN ESMERALDA"," 11713280"," PRAIA GRANDE"," 3541000"," RMBS"," -46.523759"," -24.025854",25
"26","Funciona","POINT (-46.40459 -23.599193)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 6102,04"," 100000"," R ALBERTO VILLANIS"," 125"," GUAIANAZES"," 08471700"," SÃO PAULO"," 3550308"," RMSP"," -46.40459"," -23.599193",26
"27","Funciona","POINT (-46.718769 -23.664522)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 9104,30"," 180000"," ANDRE LEAO"," 138"," CHAC STA TEREZ"," 4762030"," SÃO PAULO"," 3550308"," RMSP"," -46.718769"," -23.664522",27
"28","Funciona","POINT (-47.83302 -21.205305)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 98000"," DOS ANDRADAS"," 700"," JD MARCHESI"," 14031050"," RIBEIRÃO PRETO"," 3543402"," ESP"," -47.83302"," -21.205305",28
"29","Funciona","POINT (-45.431656 -23.633807)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 3639,45"," 170000"," RUA ODETE MACHADO PINTO"," 129"," JD MARISTELA"," 11665575"," CARAGUATATUBA"," 3510500"," RMVPLN"," -45.431656"," -23.633807",29
"30","Funciona","POINT (-48.527702 -22.284647)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 22902,51"," 115000"," JOAO FRANCESCHI"," 0"," JD. JULIANA"," 17210381"," JAÚ"," 3525300"," ESP"," -48.527702"," -22.284647",30
"31","Funciona","POINT (-46.558185 -22.938201)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 32165,71"," 115000"," R PROJETADA"," 2"," UBERABA"," 12908860"," BRAGANÇA PAULISTA"," 3507605"," ESP"," -46.558185"," -22.938201",31
"32","Funciona","POINT (-50.321989 -21.292974)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 30717,13"," 115000"," RUA DOS JASMINS"," 180"," CIDADE JARDIM"," 16203150"," BIRIGUI"," 3506508"," ESP"," -50.321989"," -21.292974",32
"33","Funciona","POINT (-45.470014 -22.928815)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 19022,93"," 190000"," R ANTONIO CASSIANO,"," 65"," BAIRRO DA AGUA PRETA"," 12400470"," PINDAMONHANGABA"," 3538006"," RMVPLN"," -45.470014"," -22.928815",33
"34","Funciona","POINT (-45.910782 -23.237238)","Atendimento Individual","Casa Paulista","2014"," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 9311,33"," 166900"," R RAIMUNDO BARBOSA NOGUEIR"," 0"," JD VENEZA"," 12227828"," SÃO JOSÉ DOS CAMPOS"," 3549904"," RMVPLN"," -45.910782"," -23.237238",34
"35","Funciona","POINT (-49.974469 -22.219237)","Atendimento Individual","Casa Paulista","2014"," CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS"," Entregue"," 1"," "," SPE"," 28954,75"," 115000"," AV DOUTOR HERCULES GALLETTI"," 98"," JARDIM CALIFORNIA"," 17527350"," MARÍLIA"," 3529005"," ESP"," -49.974469"," -22.219237",35
"36","Funciona","POINT (-49.74082 -21.68159)","Atendimento Individual","Casa Paulista","2014"," CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS"," Entregue"," 1"," "," SPE"," 28059,64"," 93600"," MINAS GERAIS"," 1405"," BARBOSA"," 16400000"," LINS"," 3527108"," ESP"," -49.74082"," -21.68159",36
"37","Funciona","POINT (-51.429315 -22.080911)","Atendimento Individual","Casa Paulista","2014"," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 34500"," 115000"," "," "," P IMPERIAL"," 19028230"," PRESIDENTE PRUDENTE"," 3541406"," ESP"," -51.429315"," -22.080911",37
"38","Funciona","POINT (-47.815543 -21.122686)","Atendimento Individual","Casa Paulista","2014"," SAUDE"," Entregue"," 1"," "," SPE"," 3100"," 117090,35"," PADRE BENTO D PACHECO"," 380"," IPIRANGA"," 14061470"," RIBEIRÃO PRETO"," 3543402"," ESP"," -47.815543"," -21.122686",38
"39","Funciona","POINT (-47.888709 -22.020616)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 115000"," GEMINIANO COSTA"," 0"," JD BRASIL"," 13569310"," SÃO CARLOS"," 3548906"," ESP"," -47.888709"," -22.020616",39
"40","Funciona","POINT (-49.090548 -22.287857)","Atendimento Individual","Casa Paulista","2014"," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 3811,73"," 125000"," Rua  RUA JULIAO FERNANDES SAN ROMAN LT MNOPQS QD 149"," "," VILA INDUSTRIAL"," 17051450"," BAURU"," 3506003"," ESP"," -49.090548"," -22.287857",40
"41","Funciona","POINT (-48.156394 -21.762225)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 114985"," AV DOUTOR MIGUEL COUTO,"," 543"," JARDIM PRIMOR"," 14806090"," ARARAQUARA"," 3503208"," ESP"," -48.156394"," -21.762225",41
"42","Funciona","POINT (-47.499784 -23.535054)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 20729,42"," 145000","  TERENCIO COSTA DIAS"," 1020"," JARDIM BERTANHA"," 18052200"," SOROCABA"," 3552205"," RMS"," -47.499784"," -23.535054",42
"43","Funciona","POINT (-46.553527 -22.913348)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 3100"," 115000"," RUA BENEDICTO DOS SANTOS"," 272"," CIDADE PLANEJADA II"," 12922000"," BRAGANÇA PAULISTA"," 3507605"," ESP"," -46.553527"," -22.913348",43
"44","Funciona","POINT (-50.428423 -22.664952)","Atendimento Individual","Casa Paulista","2014"," PLANEJAMENTO E DESENVOLVIMENTO REGIONAL"," Entregue"," 1"," "," SPE"," 31895,47"," 115000"," RUA JOAO MALDONADO"," 0"," VILA RIBEIRO"," 19812000"," ASSIS"," 3504008"," ESP"," -50.428423"," -22.664952",44
"45","Funciona","POINT (-46.249676 -23.554665)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 108200"," FRANCISCO S MARIALVA"," 0"," JUNDIAPEBA"," 8750770"," MOGI DAS CRUZES"," 3530607"," RMSP"," -46.249676"," -23.554665",45
"46","Funciona","POINT (-48.97465 -16.346799)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 11137,98"," 160000"," R TRES"," 99999"," VL ESPERANCA"," 13203830"," JUNDIAÍ"," 3525904"," ESP"," -48.97465"," -16.346799",46
"47","Funciona","POINT (-50.464895 -21.210862)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 115000"," RUA TIBIRICA"," 1220"," JARDIM AMERICA"," 16071000"," ARAÇATUBA"," 3502804"," ESP"," -50.464895"," -21.210862",47
"48","Funciona","POINT (-49.956055 -22.152089)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 115000"," R JOAO CALIMAN"," 0"," PQ NOVA ALMEID"," 17512530"," MARÍLIA"," 3529005"," ESP"," -49.956055"," -22.152089",48
"49","Funciona","POINT (-45.605579 -23.0363)","Atendimento Individual","Casa Paulista","2014"," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 25283,04"," 132000"," "," "," PIRACANGAGUA"," 12080000"," TAUBATÉ"," 3554102"," RMVPLN"," -45.605579"," -23.0363",49
"50","Funciona","POINT (-48.028084 -23.564673)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 29195,69"," 110600"," MIGUEL JANEZ"," 0"," VILA PRADO"," 18212480"," ITAPETININGA"," 3522307"," ESP"," -48.028084"," -23.564673",50
"51","Funciona","POINT (-47.362629 -20.564361)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 30313,32"," 145000"," RAD ALFEU STABELINI"," 6536"," FRANCA POLO CL"," 14412316"," FRANCA"," 3516200"," ESP"," -47.362629"," -20.564361",51
"52","Funciona","POINT (-48.81637 -21.595053)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 90000"," RUA DAS AVEN‡AS"," 57"," JD SAO FRANCISCO"," 14900000"," ITÁPOLIS"," 3522703"," ESP"," -48.81637"," -21.595053",52
"53","Funciona","POINT (-46.765436 -24.170201)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 145000"," AV WALTER MIRANDA"," 1375"," BALNEARIO TROPICAL"," 11740000"," ITANHAÉM"," 3522109"," RMBS"," -46.765436"," -24.170201",53
"54","Funciona","POINT (-48.210362 -21.792373)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 114000"," PAULINO RODELLA"," 1234"," PQ LARANJEIRAS"," 14801719"," ARARAQUARA"," 3503208"," ESP"," -48.210362"," -21.792373",54
"55","Funciona","POINT (-45.873945 -23.191595)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 3100"," 140000"," RUA JASPE,"," 85"," JARDIM SAO JOSE"," 12215770"," SÃO JOSÉ DOS CAMPOS"," 3549904"," RMVPLN"," -45.873945"," -23.191595",55
"56","Funciona","POINT (-50.319614 -21.273956)","Atendimento Individual","Casa Paulista","2014"," PLANEJAMENTO E DESENVOLVIMENTO REGIONAL"," Entregue"," 1"," "," SPE"," 34500"," 112000"," RUA JOAO PALUDETTO"," 511"," RESIDENCIAL SIMOES"," 16201315"," BIRIGUI"," 3506508"," ESP"," -50.319614"," -21.273956",56
"57","Funciona","POINT (-47.816369 -24.530079)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 24916,71"," 114862"," DOS LIRIOS"," 191"," NOVA RIBEIRA"," 11900000"," REGISTRO"," 3542602"," ESP"," -47.816369"," -24.530079",57
"58","Funciona","POINT (-46.753087 -24.157101)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 19496,65"," 128000"," R PD LUCIANO RONGE"," 376"," JD SUARAO"," 11740000"," ITANHAÉM"," 3522109"," RMBS"," -46.753087"," -24.157101",58
"59","Funciona","POINT (-48.202729 -21.788859)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 26957,71"," 114985"," AV JOAO SOARES E ARRUDA,"," 1444"," CHACARA QUATRO IRMAO"," 14801525"," ARARAQUARA"," 3503208"," ESP"," -48.202729"," -21.788859",59
"60","Funciona","POINT (-49.741248 -21.676511)","Atendimento Individual","Casa Paulista","2014"," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 30742,25"," 100000"," JOSE TELLES"," 0"," "," 16404315"," LINS"," 3527108"," ESP"," -49.741248"," -21.676511",60
"61","Funciona","POINT (-47.270744 -21.703316)","Atendimento Individual","Casa Paulista","2014"," SAUDE"," Entregue"," 1"," "," SPE"," 31983,80"," 90000"," SETE DE SETEMBRO"," 798"," CENTRO"," 13710000"," TAMBAÚ"," 3553302"," ESP"," -47.270744"," -21.703316",61
"62","Funciona","POINT (-46.325942 -23.552525)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 29815,32"," 147000"," ESTRADA DOS FERNANDES S/N BL"," 14"," PARQUE SANTA ROSA"," 08664005"," SUZANO"," 3552502"," RMSP"," -46.325942"," -23.552525",62
"63","Funciona","POINT (-47.681921 -22.681863)","Atendimento Individual","Casa Paulista","2014"," AGRICULTURA ABASTECIMENTO"," Entregue"," 1"," "," SPE"," 34500"," 136000"," NOSSA SENHORA DO CARMO"," 0"," STA TEREZINHA"," 13411030"," PIRACICABA"," 3538709"," AU PIRACICABA"," -47.681921"," -22.681863",63
"64","Funciona","POINT (-48.027248 -23.573259)","Atendimento Individual","Casa Paulista","2014"," SAO PAULO PREVIDENCIA-SPPREV"," Entregue"," 1"," "," SPE"," 27228,17"," 115000"," RUA WENCESLAU BRAZ"," 790"," VILA POPULAR"," 18213170"," ITAPETININGA"," 3522307"," ESP"," -48.027248"," -23.573259",64
"65","Funciona","POINT (-46.179188 -23.511804)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 16914,74"," 160475,90"," AV FRANCISCO RODRIGUES FILH"," 2022"," MOGILAR"," 08773380"," MOGI DAS CRUZES"," 3530607"," RMSP"," -46.179188"," -23.511804",65
"66","Funciona","POINT (-46.438317 -23.544422)","Atendimento Individual","Casa Paulista","2014"," UNIV.EST. JULIO DE MESQUITA FILHO  UNESP"," Entregue"," 1"," "," SPE"," 26508,06"," 135000"," CAETANO LAMA"," 118"," CJ JOSE BONIFA"," 8253090"," SÃO PAULO"," 3550308"," RMSP"," -46.438317"," -23.544422",66
"67","Funciona","POINT (-49.040112 -22.293932)","Atendimento Individual","Casa Paulista","2014"," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 3100"," 81000"," "," "," MARY DOTA"," 17026560"," BAURU"," 3506003"," ESP"," -49.040112"," -22.293932",67
"68","Funciona","POINT (-46.258709 -23.552841)","Atendimento Individual","Casa Paulista","2014"," SAUDE"," Entregue"," 1"," "," SPE"," 3100"," 145000"," ADRIANO PEREIRA"," 1211"," JUNDIAPEBA"," 8750550"," MOGI DAS CRUZES"," 3530607"," RMSP"," -46.258709"," -23.552841",68
"69","Funciona","POINT (-47.415146 -23.47865)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 145000"," TRES DE MARCO"," 1435"," APARECIDINHA"," 18087180"," SOROCABA"," 3552205"," RMS"," -47.415146"," -23.47865",69
"70","Funciona","POINT (-47.792505 -21.104936)","Atendimento Individual","Casa Paulista","2014"," PLANEJAMENTO E DESENVOLVIMENTO REGIONAL"," Entregue"," 1"," "," SPE"," 34500"," 118000"," LARA NILSA RAFFAINI CACA"," 630"," QUINTINO FACCI"," 14070530"," RIBEIRÃO PRETO"," 3543402"," ESP"," -47.792505"," -21.104936",70
"71","Funciona","POINT (-47.397466 -20.534023)","Atendimento Individual","Casa Paulista","2014"," SEGURANCA PUBLICA"," Entregue"," 1"," "," SPE"," 3100"," 140000"," RUA ESPEDITO BRAGA N°"," 6"," FRANCA POLO CLUBE"," 14412302"," FRANCA"," 3516200"," ESP"," -47.397466"," -20.534023",71
"72","Funciona","POINT (-46.936871 -23.617644)","Atendimento Individual","Casa Paulista","2014"," HOSPITAL DAS CLINICAS FAC.MED. DA USP"," Entregue"," 1"," "," SPE"," 33881,41"," 142900","  RUA PORTO ALEGRE"," "," RECANTO ARCO VERDE"," 06719150"," COTIA"," 3513009"," RMSP"," -46.936871"," -23.617644",72
"73","Funciona","POINT (-46.650867 -23.526779)","Atendimento Individual","Casa Paulista","2014"," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 3100"," 185000"," R CON VICENTE M MARINO"," 0"," BARRA FUNDA"," 01135020"," SÃO PAULO"," 3550308"," RMSP"," -46.650867"," -23.526779",73
"74","Funciona","POINT (-47.832065 -20.429575)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 22323,49"," 110000"," RUA RUA AURELIO MIGLIORI"," 216"," CENTRO"," 14580000"," GUARÁ"," 3517703"," ESP"," -47.832065"," -20.429575",74
"75","Funciona","POINT (-48.151995 -21.507889)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 80000"," SAO FRANCISCO"," 737"," RES.JD MARINA"," 14835000"," MOTUCA"," 3532058"," ESP"," -48.151995"," -21.507889",75
"76","Funciona","POINT (-50.882627 -21.801973)","Atendimento Individual","Casa Paulista","2014"," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 18968,09"," 90000"," "," "," "," 17700000"," OSVALDO CRUZ"," 3534609"," ESP"," -50.882627"," -21.801973",76
"77","Funciona","POINT (-48.027248 -23.573259)","Atendimento Individual","Casa Paulista","2014"," PLANEJAMENTO E DESENVOLVIMENTO REGIONAL"," Entregue"," 1"," "," SPE"," 29310,62"," 115000"," AV.WENCEL AW         BRAZ,"," 790"," VILA POPULAR"," 18052900"," ITAPETININGA"," 3522307"," ESP"," -48.027248"," -23.573259",77
"78","Funciona","POINT (-46.196583 -23.514448)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 48838,28"," 169467,11"," RUA ANTONIO RUIZ VEIGA"," 100"," V MOGILAR"," 8773495"," MOGI DAS CRUZES"," 3530607"," RMSP"," -46.196583"," -23.514448",78
"79","Funciona","POINT (-46.372208 -23.540639)","Atendimento Individual","Casa Paulista","2014"," SAUDE"," Entregue"," 1"," "," SPE"," 3100"," 175000"," DUQUE DE CAXIAS"," 629"," VL ROMANOPOLIS"," 8529000"," FERRAZ DE VASCONCELOS"," 3515707"," RMSP"," -46.372208"," -23.540639",79
"80","Funciona","POINT (-46.348587 -23.493913)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 144366,53"," ITALO ADAMI"," 1261"," ARACARE"," 8573000"," ITAQUAQUECETUBA"," 3523107"," RMSP"," -46.348587"," -23.493913",80
"81","Funciona","POINT (-49.742438 -21.676881)","Atendimento Individual","Casa Paulista","2014"," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 7438,22"," 100000"," "," "," "," 16404315"," LINS"," 3527108"," ESP"," -49.742438"," -21.676881",81
"82","Funciona","POINT (-46.990437 -24.302404)","Atendimento Individual","Casa Paulista","2014"," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 34500"," 105000"," PARAGUAI"," 300"," EST SAO JOSE"," 11750000"," PERUÍBE"," 3537602"," RMBS"," -46.990437"," -24.302404",82
"83","Funciona","POINT (-48.436347 -22.896523)","Atendimento Individual","Casa Paulista","2014"," SAO PAULO PREVIDENCIA-SPPREV"," Entregue"," 1"," "," SPE"," 34500"," 100000"," ORLANDO GAMITO"," 171"," VL CIDADE JARD"," 18601250"," BOTUCATU"," 3507506"," ESP"," -48.436347"," -22.896523",83
"84","Funciona","POINT (-49.160964 -22.87054)","Atendimento Individual","Casa Paulista","2014"," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 23350,69"," 75000"," EVARISTO ANGELINO DE OLI"," 6"," CENTRO"," 18775000"," IARAS"," 3519253"," ESP"," -49.160964"," -22.87054",84
